Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
M2,1307429,1741330,8000063,807092,2781215,428281,1284792,3739877,2501358,1323052,6512463,860645,772373,364707,332111,178411,425978,603977,663309,228938,112232,82263,456076,222831,76742,569607,73517,51950,598011,345147,23945,53716,356578,69573,73487,55020,96637,57588,188224,258014,110598,111247
M2,1142691,1514866,6992387,736637,2419784,384289,1142262,3354656,2232350,1186756,5777730,763498,701141,332925,318029,164388,385042,540653,589012,208319,107378,81233,425180,205269,73576,535327,69917,49279,567466,334093,23908,54060,341932,69417,71109,53663,95698,58962,175226,229525,102517,100754
M2,1359202,1857226,8216621,898544,2887484,465790,1400078,4004911,2635342,1372687,6816253,863969,831088,395367,362049,192791,446534,620269,684500,230333,117547,84780,469109,225854,77270,572901,74675,52567,619110,349601,23637,55821,353405,70294,72947,56168,97438,57513,182483,252960,111379,106277
M3,840377,1491558,6543763,559327,1964362,266685,1213394,3139676,2530635,1023254,7527280,490795,897830,308255,280719,177189,470025,665099,785052,141653,110377,55096,380046,205639,68005,631188,49110,48198,811519,297672,19541,42469,312653,44149,62801,44147,80977,64775,180229,222037,96240,88299
M3,870313,1524999,6601105,578778,2021450,253737,1217120,3214896,2579178,999648,7583214,485738,850474,290251,258862,169024,454229,632977,796513,149053,113487,55861,390046,206122,68989,656451,51937,48619,815245,299772,20291,41201,326013,43328,65795,44232,81234,67830,188306,224771,104526,94284
M3,941760,1692282,7218618,636647,2184126,280676,1311068,3404241,2660579,1041260,8223691,507428,923815,314431,275916,181884,489417,654074,831003,159333,122297,61049,432381,222781,76043,720806,55096,53717,904885,327597,21370,46166,352935,48534,72085,49244,87150,71745,190634,216661,102683,92194
M3,1069654,1931989,8266828,734385,2540710,319057,1562062,4121134,3399448,1253953,9744432,575891,1105666,374365,336299,218439,584112,788929,999053,192599,143643,69867,494619,257617,84832,825806,61954,63040,1052202,380106,23543,51447,403507,55495,83662,57796,99150,84356,229388,251559,123091,109401
M3,869872,1519106,6537567,563477,1993194,245414,1179802,3162500,2577219,976006,7739083,469448,910314,321313,282748,185983,467319,641192,825735,155990,116300,58286,408226,209459,71266,681910,50665,49629,805791,294891,19090,39582,313553,44417,65955,42124,73540,60130,178299,192582,99354,86085
M4,638206,1475137,5643829,399524,1465846,190750,944193,2547761,2562361,690538,5415529,366514,809525,249207,226884,134740,336435,467479,540335,128975,80219,50185,377651,135970,77038,474104,60381,45062,550474,278309,38070,38005,286174,49216,60560,72367,85704,95618,163066,157426,99114,94055
M4,600851,1500048,5738569,398065,1417187,185535,920965,2591831,2563141,693625,5412879,353373,780419,240632,222943,131920,321864,454696,531532,129092,73974,49181,373678,132209,76155,460872,56595,45769,537057,263926,37116,34613,278399,47887,57016,70087,83841,90209,157854,148929,98516,91225
