Mix,EM1,EM2,EM3
EM1,100,0,0
EM2,0,100,0
EM3,0,0,100
M1,33,33,33
M2,70,15,15
M3,10,70,20
M4,20,20,60
M5,50,30,20
M6,20,40,40
M7,45,55,0
M8,5,10,85
M9,85,10,5
M10,0,90,10
