EM1 EM2 EM3
1.921458282535297435e-01 4.011160640349897277e-01 4.067381077114806676e-01
2.003345955950772417e-01 4.132323241181068973e-01 3.864330802868158332e-01
2.064582930869406641e-01 4.015212300826797032e-01 3.920204768303797160e-01
1.956357964832270424e-01 3.869014660747931988e-01 4.174627374419798143e-01
2.023603390053364814e-01 3.845362043718837386e-01 4.131034566227798632e-01
1.877047094936049043e-01 3.929148517115788053e-01 4.193804387948162904e-01
1.954304384424792040e-01 4.042130786624877903e-01 4.003564828950330612e-01
2.017267010041123021e-01 3.929070670848486269e-01 4.053662319110390433e-01
1.906773172088611912e-01 3.782929206252175214e-01 4.310297621659212042e-01
1.974910960891481382e-01 3.762025584199923389e-01 4.263063454908594951e-01
1.861318405023351663e-01 3.768957483011629028e-01 4.369724111965018754e-01
1.936695432425485364e-01 3.894337428086745434e-01 4.168967139487768647e-01
1.999519650055433806e-01 3.779489305926289067e-01 4.220991044018277960e-01
1.889687648407995246e-01 3.625459876753480137e-01 4.484852474838524894e-01
1.956182728575025787e-01 3.605502410005371750e-01 4.438314861419601631e-01
1.876995877960445092e-01 3.950654469185068129e-01 4.172349652854486224e-01
1.957555855035145176e-01 4.071511930535099411e-01 3.970932214429755414e-01
2.019508198265943244e-01 3.955303404827292257e-01 4.025188396906764221e-01
1.910109548655229972e-01 3.809903968852143552e-01 4.279986482492626476e-01
1.976964301191123652e-01 3.785780094003201590e-01 4.237255604805674758e-01
1.874837263584737124e-01 3.773777461592111582e-01 4.351385274823152405e-01
1.899378665644258224e-01 3.968488248806114060e-01 4.132133085549627438e-01
1.980111072177715148e-01 3.831073500066725646e-01 4.188815427755558929e-01
1.876187716082768075e-01 3.673483339382775381e-01 4.450328944534456266e-01
1.954227182280170727e-01 3.646096779970270374e-01 4.399676037749558621e-01
1.828187892498017442e-01 3.689244714241445289e-01 4.482567393260537547e-01
1.850209124691665208e-01 3.875074474957908577e-01 4.274716400350426215e-01
1.931441518138291014e-01 3.742365079325633004e-01 4.326193402536076538e-01
1.825458056325010014e-01 3.584672289631887221e-01 4.589869654043102765e-01
1.904256715386604681e-01 3.560279054612263683e-01 4.535464230001131636e-01
1.801802445824975951e-01 3.538369819227659696e-01 4.659827734947363242e-01
1.824374533829858092e-01 3.734732232498262361e-01 4.440893233671878715e-01
1.904113975314260243e-01 3.600449641234717557e-01 4.495436383451022477e-01
1.798687085228049543e-01 3.437329650501798617e-01 4.763983264270151285e-01
1.875645469363425577e-01 3.413747157473571714e-01 4.710607373163002154e-01
1.820578125536954639e-01 3.717260542668307521e-01 4.462161331794736729e-01
1.845628353004566402e-01 3.910194831284474759e-01 4.244176815710958839e-01
1.926008549114334445e-01 3.774185179353163333e-01 4.299806271532501389e-01
1.820900820316094515e-01 3.617832952326964224e-01 4.561266227356941538e-01
1.898422244358869693e-01 3.590388660856997927e-01 4.511189094784132658e-01
1.825830198378013136e-01 3.865363774279401143e-01 4.308806027342585998e-01
1.829746865825528368e-01 4.082728538098453486e-01 4.087524596076018701e-01
1.913603054175842255e-01 3.940975571094234020e-01 4.145421374729923447e-01
1.809737506590180234e-01 3.786875845647512118e-01 4.403386647762307926e-01
1.902125310816037973e-01 3.740098394221544886e-01 4.357776294962417141e-01
1.792032400791325475e-01 3.772579029562398434e-01 4.435388569646275814e-01
1.793547684606198456e-01 3.981650017960245425e-01 4.224802297433555287e-01
1.878047043023152729e-01 3.844310635000793286e-01 4.277642321976053985e-01
1.772670914599593084e-01 3.688980618435858672e-01 4.538348466964548522e-01
1.864908926493116514e-01 3.645962085717344703e-01 4.489128987789539615e-01
1.763657066197683310e-01 3.623067164118201622e-01 4.613275769684115901e-01
1.766073333038268023e-01 3.841551626934640029e-01 4.392375040027092226e-01
1.848775496129645701e-01 3.703082746855637652e-01 4.448141757014715814e-01
1.743884989452172962e-01 3.541875144845751944e-01 4.714239865702074539e-01
1.834116224990248178e-01 3.500684704659315916e-01 4.665199070350435351e-01
1.776891058567831583e-01 3.806502884535719611e-01 4.416606056896448806e-01
1.781141638550895745e-01 4.021695124310672442e-01 4.197163237138430425e-01
1.864876809610951647e-01 3.881789650422904359e-01 4.253333539966144272e-01
1.760131207153216026e-01 3.728349790034823918e-01 4.511519002811960055e-01
1.851211707674136064e-01 3.682300030022057635e-01 4.466488262303806578e-01
1.833507469088231090e-01 3.968910880637413485e-01 4.197581650274356257e-01
1.900122267901586948e-01 4.114407750950186959e-01 3.985469981148224705e-01
1.969018591941807950e-01 3.988263885306051471e-01 4.042717522752141135e-01
1.855081088716483417e-01 3.843555003878872389e-01 4.301363907404643361e-01
1.922622923793808059e-01 3.824292102501067880e-01 4.253084973705123506e-01
1.776050838703682466e-01 3.892846125298130566e-01 4.331103035998187245e-01
1.839801746363532442e-01 4.029019682648088407e-01 4.131178570988379151e-01
1.909418667554600990e-01 3.907801153987189857e-01 4.182780178458209153e-01
1.793259862710680497e-01 3.763688100912933598e-01 4.443052036376387015e-01
1.861748901815882817e-01 3.747195392262155367e-01 4.391055705921961816e-01
1.761655958407382927e-01 3.734481041322194050e-01 4.503863000270423300e-01
1.824442812339248376e-01 3.882332322899045840e-01 4.293224864761706061e-01
1.892652530464462857e-01 3.759224891929249246e-01 4.348122577606287620e-01
1.777535380543150689e-01 3.607412953301994962e-01 4.615051666154854071e-01
1.844686543435933856e-01 3.591913279586337326e-01 4.563400176977728817e-01
1.779945264666126237e-01 3.912186866576202737e-01 4.307867868757671026e-01
1.846672839929693888e-01 4.056086044481993502e-01 4.097241115588312055e-01
1.915684250505962638e-01 3.931832954120083046e-01 4.152482795373955149e-01
1.800144991109315640e-01 3.788239606409719573e-01 4.411615402480963954e-01
1.867337448281806145e-01 3.768537825655287055e-01 4.364124726062906801e-01
1.825156014087132295e-01 4.016051040399286065e-01 4.158792945513581918e-01
1.918511440303270477e-01 4.127699689635059288e-01 3.953788870061671346e-01
1.976003003399227076e-01 4.014859943387491525e-01 4.009137053213280844e-01
1.867535710395749338e-01 3.862971380176930536e-01 4.269492909427320959e-01
1.912236634170668970e-01 3.872388034096085896e-01 4.215375331733245967e-01
1.764206549089118448e-01 3.941958539026473307e-01 4.293834911884408245e-01
1.854349404862083717e-01 4.044491714298715790e-01 4.101158880839200771e-01
1.912943996050771311e-01 3.936263829838327899e-01 4.150792174110901067e-01
1.801805252108644451e-01 3.785669620354603637e-01 4.412525127536751635e-01
1.847893025137157252e-01 3.797340071524965555e-01 4.354766903337876083e-01
1.751781774536405323e-01 3.781593781835194679e-01 4.466624443628399721e-01
1.840373469805817730e-01 3.896536401546792927e-01 4.263090128647388788e-01
1.897480643814557222e-01 3.786377668329547475e-01 4.316141687855896691e-01
1.787539835014355094e-01 3.627727171834295716e-01 4.584732993151348079e-01
1.832820825767705886e-01 3.640008756685311764e-01 4.527170417546983461e-01
1.773168012013937311e-01 3.957184908667348289e-01 4.269647079318714677e-01
1.866287724165713313e-01 4.067744171817397891e-01 4.065968104016889906e-01
1.923452573431392587e-01 3.956581694124324811e-01 4.119965732444282325e-01
1.813853506419237649e-01 3.805956202759856466e-01 4.380190290820906163e-01
1.858506198008603727e-01 3.814483898936667505e-01 4.327009903054728213e-01
1.913539327700050641e-01 4.032149749970916353e-01 4.054310922329034117e-01
1.999577440869109712e-01 4.149509001847113132e-01 3.850913557283777711e-01
2.075987263351117273e-01 4.020363666284180182e-01 3.903649070364701990e-01
1.957661060209625881e-01 3.884179470107350651e-01 4.158159469683023746e-01
2.029305741968263910e-01 3.857337854443311231e-01 4.113356403588425692e-01
1.868679316063896201e-01 3.948957870783025847e-01 4.182362813153078784e-01
1.950876684213368739e-01 4.058206302004254140e-01 3.990917013782377398e-01
2.028408273571649656e-01 3.933364489576633427e-01 4.038227236851716917e-01
1.908166565781414525e-01 3.796951698980017831e-01 4.294881735238567089e-01
1.980693473316736397e-01 3.772929392505593449e-01 4.246377134177671264e-01
1.859916675896378935e-01 3.783061887954787261e-01 4.357021436148832416e-01
1.939278876668903695e-01 3.905841147922694545e-01 4.154879975408402037e-01
2.016726902255454035e-01 3.778946923027577398e-01 4.204326174716968567e-01
1.897649811651652418e-01 3.634517849096390862e-01 4.467832339251956997e-01
1.968805277912450136e-01 3.611155834753366212e-01 4.420038887334183375e-01
1.872845909413693444e-01 3.968404488791015261e-01 4.158749601795289630e-01
1.957647798996210442e-01 4.085401138561213785e-01 3.956951062442575218e-01
2.034203377894948095e-01 3.957272969870325174e-01 4.008523652234725621e-01
1.915185751951716531e-01 3.821589230092289902e-01 4.263225017955992735e-01
1.986484044380990022e-01 3.794242078237964333e-01 4.219273877381046201e-01
1.859886868003802762e-01 3.797408730450120284e-01 4.342704401546076953e-01
1.886781404926404504e-01 3.990437746832891097e-01 4.122780848240705232e-01
1.984565114601635205e-01 3.839832666195344690e-01 4.175602219203020660e-01
1.870300719691814495e-01 3.691979267842364631e-01 4.437720012465821151e-01
1.953581480776373502e-01 3.660981767031671330e-01 4.385436752191955168e-01
1.813555478424279110e-01 3.711482377931645815e-01 4.474962143644073964e-01
1.837531541264871005e-01 3.896123271654272635e-01 4.266345187080858303e-01
1.935852629197263308e-01 3.750283410685172902e-01 4.313863960117563789e-01
1.819734829171564816e-01 3.601943417007744674e-01 4.578321753820691620e-01
1.904412172234951350e-01 3.572803932678523808e-01 4.522783895086524564e-01
1.794582098760244826e-01 3.555394418763922482e-01 4.650023482475831305e-01
1.818570799675520433e-01 3.750172302923590051e-01 4.431256897400889794e-01
1.915238782042856802e-01 3.603292000365881931e-01 4.481469217591261822e-01
1.799956726356762016e-01 3.448831991862173485e-01 4.751211281781064222e-01
1.882290979876269366e-01 3.422273165131796135e-01 4.695435854991934499e-01
1.809763323309067362e-01 3.737344318590997139e-01 4.452892358099935222e-01
1.836873216574774481e-01 3.928781504183531670e-01 4.234345279241693571e-01
1.934146125538539207e-01 3.779844926708205710e-01 4.286008947753255915e-01
1.819087025568146276e-01 3.632853923193869461e-01 4.548059051237984818e-01
1.901872743323841652e-01 3.601778386274930854e-01 4.496348870401228326e-01
1.809248839163468958e-01 3.890008199711395553e-01 4.300742961125135211e-01
1.814636915780238891e-01 4.106233698971404888e-01 4.079129385248355666e-01
1.915485923899246656e-01 3.951146665762182431e-01 4.133367410338570913e-01
1.801312140917275539e-01 3.806916050337458279e-01 4.391771808745266181e-01
1.899063866828239189e-01 3.756380765109981201e-01 4.344555368061779332e-01
1.776070974038223560e-01 3.795518158016920607e-01 4.428410867944855278e-01
1.778946098497797557e-01 4.003753651641730471e-01 4.217300249860471695e-01
1.880484892984088108e-01 3.853235939609584992e-01 4.266279167406326067e-01
1.764880392822888444e-01 3.707618573251021399e-01 4.527501033926090712e-01
1.862971426726806046e-01 3.660360098752639124e-01 4.476668474520554830e-01
1.754701218702333365e-01 3.640747286784796755e-01 4.604551494512870713e-01
1.758004821951004992e-01 3.858618172378598943e-01 4.383377005670395787e-01
1.857573290903542784e-01 3.707132234932587478e-01 4.435294474163869460e-01
1.743228310436910344e-01 3.555049822155916805e-01 4.701721867407173128e-01
1.839280095193101816e-01 3.509548276885494089e-01 4.651171627921404372e-01
1.764454051190251227e-01 3.827558006311962413e-01 4.407987942497785250e-01
1.769999834349164081e-01 4.042008213256968463e-01 4.187991952393867456e-01
1.870888945339792830e-01 3.888764836648875289e-01 4.240346218011332158e-01
1.755941063309770234e-01 3.744953785411663238e-01 4.499105151278566805e-01
1.852896565707276566e-01 3.694529110501206803e-01 4.452574323791516631e-01
1.819715153037071431e-01 3.993423519350410844e-01 4.186861327612518835e-01
1.890178982368269089e-01 4.135853012417507468e-01 3.973968005214223997e-01
1.975191771733239010e-01 3.997005245244077964e-01 4.027802983022682470e-01
1.850699004997111707e-01 3.862393306592784015e-01 4.286907688410103723e-01
1.922764782123731198e-01 3.839917810522660568e-01 4.237317407353609067e-01
1.763202362031415227e-01 3.915888718126752654e-01 4.320908919841833229e-01
1.829488421038120705e-01 4.049758471127205550e-01 4.120753107834672635e-01
1.914914693402623991e-01 3.915903128663488220e-01 4.169182177933887234e-01
1.788460030462130923e-01 3.781566752770409434e-01 4.429973216767459365e-01
1.861621441421275891e-01 3.762167407907798800e-01 4.376211150670925032e-01
1.754798263229200572e-01 3.752744989077248516e-01 4.492456747693551744e-01
1.821022484987478984e-01 3.897843343588440757e-01 4.281134171424080259e-01
1.904590631653017840e-01 3.762409516423679268e-01 4.332999851923304280e-01
1.779906618731844636e-01 3.620135734957526386e-01 4.599957646310630088e-01
1.851748943213476772e-01 3.601107350248027861e-01 4.547143706538494534e-01
1.769808417405850653e-01 3.933369275762118589e-01 4.296822306832031035e-01
1.840136715338532014e-01 4.074490891386683411e-01 4.085372393274784852e-01
1.924543144823352425e-01 3.937387806831981196e-01 4.138069048344667489e-01
1.799447221876174785e-01 3.803672313270431982e-01 4.396880464853394344e-01
1.871257540889840199e-01 3.780929742433600804e-01 4.347812716676558442e-01
1.813296718475568559e-01 4.038719173249336047e-01 4.147984108275094561e-01
1.911635141257061743e-01 4.146283912202346489e-01 3.942080946540591491e-01
1.984725649257466640e-01 4.021543460087335098e-01 3.993730890655197152e-01
1.865640865007961724e-01 3.879515859726998528e-01 4.254843275265040026e-01
1.913897449005824147e-01 3.886493823285347426e-01 4.199608727708828981e-01
1.751902197886930357e-01 3.963711848501053070e-01 4.284385953612016573e-01
1.846960434964969866e-01 4.062473120917547420e-01 4.090566444117482159e-01
1.920125705649063097e-01 3.942725468726523408e-01 4.137148825624414328e-01
1.799330175127525078e-01 3.801341002669786362e-01 4.399328822202688838e-01
1.849220089251739640e-01 3.810577718641540157e-01 4.340202192106720758e-01
1.746583400175045486e-01 3.798378820088789687e-01 4.455037779736165660e-01
1.838900369352947095e-01 3.909237663828284970e-01 4.251861966818767380e-01
1.911136160498169423e-01 3.787795598128628205e-01 4.301068241373203760e-01
1.791968756478864999e-01 3.638423836906941600e-01 4.569607406614193956e-01
1.841021820261522224e-01 3.647977881992814919e-01 4.511000297745663135e-01
1.764873009020571371e-01 3.976605763518295533e-01 4.258521227461132264e-01
1.862528329095129165e-01 4.083603632095424429e-01 4.053868038809447238e-01
1.934732690158750823e-01 3.960328885094638318e-01 4.104938424746611969e-01
1.815533669764912705e-01 3.819154412660007436e-01 4.365311917575079304e-01
1.863959424033845291e-01 3.825152380904776606e-01 4.310888195061378658e-01
1.903775977317285761e-01 4.042188342366280773e-01 4.054035680316433465e-01
2.004690658714414209e-01 4.141363595065167824e-01 3.853945746220418522e-01
2.086606543460087226e-01 4.007515788849402294e-01 3.905877667690511035e-01
1.968748370610566290e-01 3.877726100159585298e-01 4.153525529229848412e-01
2.023661140210518128e-01 3.865557253508022373e-01 4.110781606281458944e-01
1.843709435461391710e-01 3.974132535753484019e-01 4.182158028785123438e-01
1.942664100727204690e-01 4.065132988104968037e-01 3.992202911167828105e-01
2.024737702872854705e-01 3.936674436413830636e-01 4.038587860713313549e-01
1.903962873458941996e-01 3.806491272292903405e-01 4.289545854248154599e-01
1.960050774953566721e-01 3.796252151670564401e-01 4.243697073375869988e-01
1.843084156991017519e-01 3.801142143916340643e-01 4.355773699092642670e-01
1.936671349903276718e-01 3.908377048703832735e-01 4.154951601392888882e-01
2.020493320626023659e-01 3.774581390358842103e-01 4.204925289015135070e-01
1.900838342968381167e-01 3.636807555202101749e-01 4.462354101829515973e-01
1.956679538083403447e-01 3.627606187020196993e-01 4.415714274896398450e-01
1.858194873453307416e-01 3.985126753807019528e-01 4.156678372739674443e-01
1.958737160615425243e-01 4.083413891862370249e-01 3.957848947522205063e-01
2.040935114719058807e-01 3.951043015992148910e-01 4.008021869288793115e-01
1.921239065774661414e-01 3.822240149217581706e-01 4.256520785007756880e-01
1.976296551111222655e-01 3.809306495887584965e-01 4.214396953001193213e-01
1.854941818251089891e-01 3.804614234860880795e-01 4.340443946888029036e-01
1.896019976579707278e-01 3.982255211179764887e-01 4.121724812240527558e-01
1.998832457199059831e-01 3.827319289860180440e-01 4.173848252940760006e-01
1.885398816331816940e-01 3.684838528296506266e-01 4.429762655371676239e-01
1.951412960754025649e-01 3.668511411948411904e-01 4.380075627297562724e-01
1.792821549988465879e-01 3.734601699343546022e-01 4.472576750667988099e-01
1.832062958283462994e-01 3.902930450005737684e-01 4.265006591710798212e-01
1.935305701302099390e-01 3.753763535362500403e-01 4.310930763335400484e-01
1.818725611861761460e-01 3.610743705426051608e-01 4.570530682712186099e-01
1.885551314458580319e-01 3.597362628246089655e-01 4.517086057295330304e-01
1.781485291407853833e-01 3.572377321130352223e-01 4.646137387461795054e-01
1.819411001163602770e-01 3.750716067421679401e-01 4.429872931414718384e-01
1.920551487156783865e-01 3.601265723981988409e-01 4.478182788861226893e-01
1.806418015060335946e-01 3.451111958728288465e-01 4.742470026211375034e-01
1.872677898292767762e-01 3.439164983950812049e-01 4.688157117756420189e-01
1.799848756985495124e-01 3.751597883425681346e-01 4.448553359588824363e-01
1.841550472688079643e-01 3.926580443884745142e-01 4.231869083427174938e-01
1.943875264877540088e-01 3.774140369042697785e-01 4.281984366079761850e-01
1.828867472430849017e-01 3.632736467283475545e-01 4.538396060285674882e-01
1.894451388853402307e-01 3.616189306960878036e-01 4.489359304185720489e-01
1.790858385575490042e-01 3.905226664382719926e-01 4.303914950041789478e-01
1.809200033519648421e-01 4.108045946680449201e-01 4.082754019799901823e-01
1.916906989928441329e-01 3.947928300707730376e-01 4.135164709363827185e-01
1.803871086893056030e-01 3.808524645276397114e-01 4.387604267830546578e-01
1.885040860183357370e-01 3.772026589276500363e-01 4.342932550540142822e-01
1.742507668448542990e-01 3.827137756388789835e-01 4.430354575162667730e-01
1.759837662685223292e-01 4.019304237540533009e-01 4.220858099774243422e-01
1.866747647101549834e-01 3.864935833753402328e-01 4.268316519145046728e-01
1.750831273281319156e-01 3.724319210882490738e-01 4.524849515836189551e-01
1.833055302402457620e-01 3.691087770168707816e-01 4.475856927428833454e-01
1.729666823954018051e-01 3.665552233796409709e-01 4.604780942249572240e-01
1.744778265557694052e-01 3.868133033769672879e-01 4.387088700672633346e-01
1.851157848727732202e-01 3.712425468498221637e-01 4.436416682774046438e-01
1.737181024312076105e-01 3.565785024873429077e-01 4.697033950814494818e-01
1.817824734315906798e-01 3.533273489115199562e-01 4.648901776568893363e-01
1.741188579537074343e-01 3.850040801550155822e-01 4.408770618912768446e-01
1.761017938908410740e-01 4.049115546840488800e-01 4.189866514251099905e-01
1.867174148496478781e-01 3.892071494843462598e-01 4.240754356660058066e-01
1.752131891361870253e-01 3.751858951871758219e-01 4.496009156766372361e-01
1.833422177742177750e-01 3.716016378422615785e-01 4.450561443835207021e-01
