M10,7.81382317049882,81.22889235553905,10.957284473962133
M9,88.23394625588186,5.6268463447964825,6.1392073993216565
M8,4.2190049441169,7.356020821797537,88.42497423408555
M7,50.475936226321004,48.02307414112828,1.5009896325507128
M6,19.73246813368335,42.67602724123588,37.591504625080766
M5,46.66159185988042,32.143095203385975,21.195312936733608
M4,15.629728927218807,23.347081142521525,61.02318993025967
M3,8.658335174285728,72.26206189637057,19.079602929343707
M2,69.2404621907133,16.806481087739883,13.953056721546815
M1,33.53802975912449,35.725070570914355,30.736899669961147
