3.780672413570936308e-01,2.054772202972551254e-01,4.164555383456512438e-01
8.439609384860978780e-01,7.392537208975507278e-03,1.486465243049266416e-01
3.346159611779278564e-02,5.807015229210849006e-01,3.858368809611222860e-01
1.300911466876725764e-01,1.701173514191927083e-01,6.997915018931347708e-01
5.265829629337256401e-01,1.970017286006677526e-01,2.764153084656066350e-01
1.600244019368811388e-01,3.244829611952149140e-01,5.154926368679039195e-01
4.777177972808581696e-01,4.095142511383821349e-01,1.127679515807597233e-01
0.000000000000000000e+00,6.473935767243636785e-02,9.352606423275636738e-01
9.932097728336997111e-01,0.000000000000000000e+00,6.790227166300242916e-03
0.000000000000000000e+00,6.698006631414025192e-01,3.301993368585974253e-01
