M10,12.047937850957341,77.41062635742006,10.541435791622604
M9,91.7587883804804,3.6898908493815203,4.551320770138084
M8,11.837089324000267,7.431445826622069,80.73146484937767
M7,45.684809264706445,54.30053037904847,0.014660356245087769
M6,26.174375454138286,39.76869142220682,34.05693312365489
M5,49.14071303896522,30.526204285952335,20.333082675082448
M4,21.391923418191343,19.661773236239615,58.94630334556905
M3,12.530252531658364,68.00479454961567,19.46495291872597
M2,66.87933142873482,16.224313570488118,16.896355000777067
M1,32.478609809819666,34.54237083978309,32.97901935039725
