EM1 EM2 EM3 cv
1.693153027470089356e+01 2.631694906023950509e+01 5.675152066505960846e+01 4.944416868793567732e-02
1.691084182729146335e+01 2.419070854042366747e+01 5.889844963228487984e+01 5.204928800872503369e-02
1.796230578702660452e+01 2.255281165269244070e+01 5.948488256028095122e+01 5.069481062244913377e-02
1.738963734567851915e+01 2.377802788938107881e+01 5.883233476494039138e+01 5.163625893094538760e-02
1.527115919421566481e+01 2.469499228121097900e+01 6.003384852457335796e+01 5.663584116005070807e-02
1.799528641273683505e+01 2.336900200384963000e+01 5.863571158341353140e+01 4.790721772396069195e-02
1.655897030010805082e+01 2.325147826319162547e+01 6.018955143670032015e+01 5.050259287803331859e-02
1.755172956062318335e+01 2.150473048902528816e+01 6.094353995035151428e+01 4.885797831102000471e-02
1.728770575023300538e+01 2.299692087635774485e+01 5.971537337340925689e+01 4.981285985435602442e-02
1.504964494970185029e+01 2.367072032075850174e+01 6.127963472953964441e+01 5.444104302756990615e-02
1.755797570671784413e+01 2.250130490906496306e+01 5.994071938421718215e+01 4.775389466403206357e-02
1.627549729458820948e+01 2.237401206695692579e+01 6.135049063845486472e+01 5.018816263336596528e-02
1.749787913389156202e+01 2.089682038204912828e+01 6.160530048405929904e+01 4.934122938346058307e-02
1.687113096439202664e+01 2.202089300899415392e+01 6.110797602661381234e+01 4.981003886548060478e-02
1.476142631502602853e+01 2.266975998945435222e+01 6.256881369551960859e+01 5.422790259960391657e-02
1.784729846551504195e+01 2.398034238233062609e+01 5.817235915215432129e+01 4.599998550932932889e-02
1.645567053967014459e+01 2.393698521796921597e+01 5.960734424236065365e+01 4.819315863025874780e-02
1.741182337738270647e+01 2.213200477330531157e+01 6.045617184931197130e+01 4.749541790658851764e-02
1.708588230089992166e+01 2.359338154218095696e+01 5.932073615691911783e+01 4.827665075009602430e-02
1.485583241499506002e+01 2.445831416276630321e+01 6.068585342223863677e+01 5.319704071790404970e-02
1.959300279988686455e+01 2.160807963005065702e+01 5.879891757006247843e+01 5.141191837450147933e-02
1.826277894117160372e+01 2.146483159934305363e+01 6.027238945948533910e+01 5.408093136562170528e-02
1.942696834499117031e+01 1.965457452211349576e+01 6.091845713289533393e+01 5.299253203169799337e-02
1.882237881514558708e+01 2.110453092095503891e+01 6.007309026389938111e+01 5.365225862170314164e-02
1.644319655978222627e+01 2.196624494801207916e+01 6.159055849220569456e+01 5.848880173642857089e-02
1.868939973377730013e+01 2.099764863851918761e+01 6.031295162770351226e+01 4.996560967807903847e-02
1.809247446809805737e+01 2.062256085936741457e+01 6.128496467253453517e+01 5.261565152850692512e-02
1.909310008942527759e+01 1.891452125008681762e+01 6.199237866048790835e+01 5.127815878597637850e-02
1.858457153293370823e+01 2.027243103814169345e+01 6.114299742892458767e+01 5.193058729314276728e-02
1.623391833964492292e+01 2.103436792366235508e+01 6.273171373669271844e+01 5.637717378404254187e-02
1.889985110825708503e+01 1.991883153687339103e+01 6.118131735486952749e+01 5.023484018651308558e-02
1.775884651770959621e+01 1.969767061043510736e+01 6.254348287185530353e+01 5.272538044450695432e-02
1.875740034267709433e+01 1.803723188761750862e+01 6.320536776970538995e+01 5.215570176118316387e-02
1.825424162976675291e+01 1.938891076328253149e+01 6.235684760695070850e+01 5.233754530196667309e-02
1.596878595490371033e+01 2.010540380101000224e+01 6.392581024408629276e+01 5.655796376275812332e-02
1.875859388300090913e+01 2.156268343433878698e+01 5.967872268266030034e+01 4.829368189096244768e-02
1.793808249739415217e+01 2.110341699469600130e+01 6.095850050790983943e+01 5.056307946315524715e-02
1.902323497169458477e+01 1.939314460035204846e+01 6.158362042795336322e+01 5.011622840161494841e-02
1.847094936451690828e+01 2.078891445967730789e+01 6.074013617580579449e+01 5.061037873117041341e-02
1.609284135760214696e+01 2.159371809180980506e+01 6.231344055058804798e+01 5.533950745917030206e-02
1.932416429827661375e+01 2.275365534009808144e+01 5.792218036162530836e+01 5.055123610033385867e-02
1.812503130865873402e+01 2.254707641605772395e+01 5.932789227528353848e+01 5.308134929073626135e-02
1.912266421053795895e+01 2.065172907717754924e+01 6.022560671228449536e+01 5.205575304958113408e-02
1.870002619615605255e+01 2.209450652858297914e+01 5.920546727526096475e+01 5.285428981727790382e-02
1.621806154123925126e+01 2.319879332638736003e+01 6.058314513237338161e+01 5.755942889836563464e-02
1.893591053231473609e+01 2.187854415051060997e+01 5.918554531717465750e+01 4.897337637548003497e-02
1.782447415007151292e+01 2.167303786009951239e+01 6.050248798982895693e+01 5.148927448303657062e-02
1.880128885891025448e+01 1.983198871150923637e+01 6.136672242958050560e+01 5.020979501048060401e-02
1.838977214302489571e+01 2.126310136988137955e+01 6.034712648709371763e+01 5.100983909020300605e-02
1.596580756656191191e+01 2.228961044707067884e+01 6.174458198636741457e+01 5.532554833410213702e-02
1.867648677792521639e+01 2.088442547673922434e+01 6.043908774533556993e+01 4.917037707376671618e-02
1.750676798135535606e+01 2.071442588333424339e+01 6.177880613531039700e+01 5.153028166385280329e-02
1.849851136917439476e+01 1.899412041489600966e+01 6.250736821592959558e+01 5.103013210081555617e-02
1.805030233283426000e+01 2.032189205115084008e+01 6.162780561601489637e+01 5.134749232962011745e-02
1.534659397781262768e+01 2.128370184880964544e+01 6.336970417337771977e+01 5.544732809390787859e-02
1.880688119907044609e+01 2.261529530119693732e+01 5.857782349973262370e+01 4.732025496395136227e-02
1.767970772790599199e+01 2.217131152323994314e+01 6.014898074885405777e+01 4.943986602243014006e-02
1.875721963333699094e+01 2.045642999850062793e+01 6.078635036816238113e+01 4.907702682842093184e-02
1.829786656862276217e+01 2.175004906273099436e+01 5.995208436864624701e+01 4.971411205530057442e-02
1.556401974416505141e+01 2.274700912491823246e+01 6.168897113091671969e+01 5.431473824716988308e-02
1.856312774775962282e+01 2.279449691809239198e+01 5.864237533414797809e+01 4.978876252124797563e-02
1.745864695659745536e+01 2.264945371513546846e+01 5.989189932826707263e+01 5.230709350821486497e-02
1.863158712222850610e+01 2.064352112135050987e+01 6.072489175642098758e+01 5.146676850530085973e-02
1.802811164303906821e+01 2.233226465732197497e+01 5.963962369963895327e+01 5.213726414453337399e-02
1.566037197456007668e+01 2.305599335565510799e+01 6.128363466978481000e+01 5.711259354519084008e-02
1.836781250950016897e+01 2.201247988683048717e+01 5.961970760366934741e+01 4.822608605421611905e-02
1.725734696664180490e+01 2.179167230792453225e+01 6.095098072543365930e+01 5.073310979562340589e-02
1.833648863743910695e+01 1.980407676297011932e+01 6.185943459959077728e+01 4.962865766879841906e-02
