EM1 EM2 EM3 cv
1.004025041166853960e+01 7.108617634503801241e+01 1.887357324329343555e+01 3.799999999999999906e-02
8.914129909058885914e+00 7.144262036718633624e+01 1.964324972375477429e+01 3.799999999999999906e-02
9.689529290020294283e+00 7.175667057584182373e+01 1.855380013413789086e+01 3.799999999999999906e-02
7.924002706958739317e+00 7.338621331736878517e+01 1.868978397567247995e+01 4.307968070639169034e-02
1.044964437833719550e+01 6.973002755117694562e+01 1.982032807048587131e+01 3.800000000000001987e-02
8.909596197930717665e+00 7.067070396155334322e+01 2.041969984051592135e+01 3.800000000000001987e-02
9.441397299917099417e+00 7.135492622048977296e+01 1.920367647959313118e+01 3.800000000000001987e-02
8.178774228868059382e+00 7.241769690390789549e+01 1.940352886722403980e+01 4.281918093634234229e-02
1.038031014518789164e+01 6.859045109235766802e+01 2.102923876245445101e+01 3.799999999999999906e-02
8.884649440590555614e+00 6.958980637130706270e+01 2.152554418810237280e+01 3.799999999999999906e-02
9.254091268306538609e+00 7.020910112213879017e+01 2.053680760955466056e+01 3.799999999999999906e-02
7.691117574806408008e+00 7.181000239329145529e+01 2.049888003190213226e+01 4.224074326110788952e-02
1.031262026004948318e+01 7.018570532123241890e+01 1.950167441871810681e+01 3.799999999999999906e-02
8.887862254968892373e+00 7.062221853711024266e+01 2.048991920792087029e+01 3.799999999999999906e-02
9.409307894138031259e+00 7.144971659862275715e+01 1.914097550723921515e+01 3.799999999999999906e-02
7.725241871677280159e+00 7.303756664625545625e+01 1.923719148206725649e+01 4.177747979667515571e-02
1.231526793192284508e+01 6.676218507327838836e+01 2.092254699479876834e+01 3.800000000000001293e-02
1.049099294589298736e+01 6.776424411590781460e+01 2.174476293819919803e+01 3.800000000000001293e-02
1.136723875191871080e+01 6.793021568853208692e+01 2.070254555954918985e+01 3.800000000000001293e-02
9.469453143627571734e+00 6.972419116816158180e+01 2.080635568821085002e+01 4.303421813164289705e-02
1.211135348362882524e+01 6.599756970893361085e+01 2.189107680743756745e+01 3.800000000000000600e-02
1.050921262252617439e+01 6.637460658016912873e+01 2.311618079730469688e+01 3.800000000000000600e-02
1.113161505628495540e+01 6.743314343218962392e+01 2.143524151152541535e+01 3.800000000000000600e-02
9.213897143346725827e+00 6.962234024209200811e+01 2.116376261456126073e+01 4.263976484919550225e-02
1.189489801513807699e+01 6.495006787168439644e+01 2.315503411317753546e+01 3.799999999999999906e-02
1.036246237313057073e+01 6.515904107491573427e+01 2.447849655195368612e+01 3.799999999999999906e-02
1.098723511106669193e+01 6.600609810639778630e+01 2.300666678253552178e+01 3.799999999999999906e-02
9.182146737135658654e+00 6.768472946835046855e+01 2.313312379451387102e+01 4.209196623939055748e-02
1.180904050434990715e+01 6.658865182654614046e+01 2.160230766910395772e+01 3.799999999999999906e-02
1.019879776414566130e+01 6.686144310297366644e+01 2.293975913288066693e+01 3.799999999999999906e-02
1.095900595264625466e+01 6.761447535383624086e+01 2.142651869351751159e+01 3.799999999999999906e-02
