Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
EM1,7990644,11235264,6933221,2525124,6246795,4860801,1954886,1463273,2799188,4764167,110503,405529,2682323,387917,224935,62913,178429,851410,517255,274895,88062,527527,255386,287328,1025535,73861,198543,144553,294376,52443,148216,691990,114397,860570,712130,104960,705021,610528,682050,226238,61566,150314,201274,222421,37196,148382,94222,100045,291923,179663,165375,199198,108026,114902,109846,102298,67949,45429,109332,175972,1,1,1,333173,689848,665631,1669769,1696800,423410,444542,315893,75599,147703,44191,46327,308032,122844,105240,433372,590809,593996,389955,150984,429182,82838,308714,189727,155996,102109,26912,73391,46448,103036,609233,677620,401688,204044,381324,443818,720652,572342,91382,56536,510844,219713,242849,73473,174297,87935,48935
EM1,8440766,12415941,7379347,2851151,6999661,5872767,2221924,1646137,3073833,5373976,120502,457610,3023555,442333,245646,72224,191566,950399,566578,304337,99896,601050,281928,312374,1147183,83627,220648,162296,325761,59708,167474,765897,126714,967693,811054,118311,790680,678381,754856,244347,69381,168027,219298,252442,41933,167359,103780,110790,317213,200621,188592,226735,114112,123691,122705,115023,75608,47931,120463,191446,1,1,1,359243,754973,715553,1838435,1834493,466657,470913,336470,80951,156260,47572,50244,318867,128121,113582,455684,654839,625214,419331,161496,463075,80635,319800,193600,172178,111707,27908,78689,47902,108007,657738,746683,412422,226164,393138,473006,768296,602006,101416,56742,551017,231873,271960,75834,190334,88866,52176
EM1,7572585,10356257,6487583,2446675,6236173,4950185,1923982,1432924,2665395,4676975,103655,394144,2464358,393386,218720,61142,177135,833987,509596,282424,85239,521136,254258,272454,991064,73005,194635,143935,281233,51898,143641,652053,113876,835077,708502,102713,680444,590528,652474,216590,60905,148408,200554,209821,38201,138049,92830,99449,290140,181087,165599,191336,99434,110165,109281,100508,61502,44801,104956,167001,1,1,1,336435,688499,671217,1697846,1601661,424769,422258,310932,76002,146631,43689,45491,305632,122382,100205,430518,603546,580870,387409,150049,422251,81370,289683,185240,158695,99286,25926,71070,44333,99047,600737,669639,401011,202481,379101,456854,730598,560044,92084,54805,517112,211234,244397,70588,163787,83061,48136
EM1,7404917,10798980,6472124,2469959,5991088,4724285,1873149,1412919,2704281,4567917,105309,395550,2536165,369515,219815,61070,175127,811090,496898,273830,84277,508928,249900,278429,989432,73696,196600,139496,283102,51886,141528,658082,111726,814116,677600,102079,657297,593170,645964,220394,61321,150258,192313,213557,35964,144991,89442,97606,281387,176492,163599,194704,98993,110442,110337,101525,61599,43467,105044,167642,1,1,1,336602,671181,653534,1674709,1617671,423492,426612,308648,76262,147065,43880,44472,296530,120326,99099,417109,578644,570529,371723,143383,414450,78134,284775,176796,156471,98766,26851,68166,45150,97957,588048,692323,387931,202007,366669,435993,689344,548657,90055,50868,476175,211119,248386,68050,166438,81946,47642
EM1,8914123,12276721,7614415,2833801,7197309,5598359,2208558,1625711,3128708,5416158,117668,434666,2961247,425875,251269,69254,200713,921867,566624,317950,97572,566554,285704,313811,1169260,81124,217989,156630,318281,58598,161850,764645,126481,946015,812475,116665,762398,689981,749016,248449,70124,166915,219203,241233,41988,162683,102462,112471,320094,202016,191164,218224,111393,123731,124461,117179,72478,48814,121137,187865,1,1,1,357347,719092,720493,1789542,1779168,452567,457509,328016,83961,154101,48358,48705,320953,133418,110944,441363,619344,621375,415456,164288,454733,84799,311607,203834,167387,112679,27931,75815,47687,103504,638794,735465,412933,213083,400322,465448,745818,603065,99923,57964,559543,229627,268346,81188,176618,84996,52439
EM1,7514304,10588905,6399254,2438549,6099824,4912716,1899405,1429447,2624567,4585225,105107,392155,2520294,372570,211875,61471,174482,824479,505976,271278,85551,512571,247743,268756,980266,72975,188024,139440,280515,53139,145139,624187,110647,833003,704986,99718,680322,575348,659864,207192,58852,141743,194152,216263,36285,137063,85977,98311,279823,174607,165848,185027,101165,104408,106461,99903,64761,43836,103718,161490,1,1,1,321347,664047,668948,1700529,1644594,427693,428180,295770,76291,145568,43671,46962,296346,119766,103377,409720,607364,559222,372694,149963,421107,76153,285924,187806,153754,105172,25552,71600,43306,94855,592490,686346,379524,200687,359655,439556,680029,554454,90827,52627,510226,211417,238885,72189,165665,83170,46657
EM1,7607002,11097424,6660423,2514882,6167046,4883570,1917556,1445005,2740425,4710811,106014,395003,2597157,376529,219455,60869,174083,820123,500690,278900,86232,497595,247406,279563,995694,73449,196974,138873,281510,52413,144505,661389,110017,841091,706390,103391,686069,597262,658589,217798,59019,149005,191935,218386,36548,143556,89806,97118,284526,177359,161045,193411,100647,107224,106728,102258,64277,42863,110446,167423,1,1,1,325110,665633,633518,1658384,1692358,431266,428896,306285,75965,142731,44805,45317,293803,117528,102912,419187,604612,570988,379352,145961,414259,75251,291456,182013,162103,105666,26226,71000,43593,97090,595140,661792,383181,199513,360852,434459,663955,535794,89387,53087,501707,209091,245601,68862,158418,81947,46558
EM1,7793333,11266667,6844793,2569554,6214489,4932789,1967584,1474112,2780415,4784028,109765,408779,2686452,382772,224232,62256,175058,834676,508174,280721,89932,514604,257379,282870,1027995,72764,197268,143533,289758,53184,149096,679927,110941,854675,722538,107877,700451,602581,667875,222262,61643,150220,195180,218746,37646,147721,91271,98080,286126,177643,166396,192447,104321,111497,109021,102776,65786,44097,106137,168122,1,1,1,326633,689064,665599,1705959,1716146,435769,444402,315518,76840,146569,44005,46090,306289,117955,102957,421495,607801,567825,374354,147352,424400,78634,294160,184499,161568,106468,26175,72433,43233,99000,616263,691761,379302,203973,362655,449711,681881,549466,89772,53863,511101,219738,244938,73276,166712,82320,47834
EM1,11956357,16906761,9959142,3873713,9238505,7797913,3023011,2226111,4085371,7071633,155138,578229,3883662,550765,300598,89042,244888,1189715,718013,383646,121880,730801,337861,387819,1424492,101434,264597,192434,379163,74779,201791,893881,157404,1171546,983142,141812,938662,805887,889095,281883,83882,194158,273138,293656,50931,193656,107797,122045,344504,216861,201774,237233,123615,130627,130919,121855,78620,53250,129987,201115,1,1,1,348694,702326,704834,1763489,1734065,436875,445377,309863,77686,153013,43872,46902,308487,124854,107007,418588,614390,593489,391994,156277,433564,79160,292596,185898,164993,104191,26065,75092,44008,96494,612495,673529,383362,199654,367777,426650,694749,544811,94297,54591,510753,217539,255956,73222,168125,80361,46728
EM1,7971059,11195713,6711194,2613564,6553021,5326136,2053917,1506330,2825302,4978282,110653,418970,2736189,405866,221251,63832,181493,887565,541037,288695,90278,547543,255620,290205,1045629,75271,201172,147220,292213,58358,153881,695043,117946,888257,760766,108959,737412,620860,695365,224198,63826,152745,207230,227021,39085,151950,95272,106045,301228,187203,176042,199572,105370,112874,112058,105915,66371,47339,111795,172937,1,1,1,334076,672538,687343,1746920,1676051,428356,440085,304456,77894,146368,44698,47330,306881,120725,102893,420407,623151,586581,371979,150526,428145,80654,296756,187123,163708,106345,25463,73639,43878,101288,598146,670996,398498,203529,359919,440279,689384,554961,90453,54471,496148,215065,252224,73050,164063,82734,50296
EM2,7023515,10320854,6160233,2385288,5823060,4849105,1838887,1377844,2528793,4545866,100320,378360,2486997,368507,199847,58175,161388,798457,478709,260135,82218,494058,229104,261463,942555,68958,184449,138956,268532,51938,139366,619910,107982,808189,690237,98426,655171,569174,626781,201067,57849,136999,192705,208068,35100,137305,83633,95457,273208,171394,160754,182227,98199,99678,98574,95107,61038,40248,100340,158176,1,1,1,306669,613569,614280,1569241,1529313,390997,393276,271071,71489,136916,40190,42222,280409,110283,92994,384890,558672,530280,358910,138496,391648,73333,262734,166744,141433,94571,23982,65847,38881,88484,542646,630167,364676,185117,338485,393574,655187,510657,83595,51008,462041,198198,233821,67374,152763,73729,42431
EM2,12401312,17754301,11168383,4234465,10024766,8031019,3157089,2407070,4426683,7342353,161210,598990,4106012,562044,322474,92031,251120,1204230,734804,396877,126846,722108,352651,381189,1489401,102346,270382,179133,360302,69344,192783,856828,146571,1080902,931899,136368,885267,760676,829729,267210,75177,181622,245366,270113,46145,178328,93993,102719,299272,189040,174035,204078,108577,115816,111860,104022,68316,45905,108514,169955,1,1,1,317721,642563,645475,1630394,1582370,396162,419158,289085,70892,135512,41502,43201,284380,111622,99095,395644,572689,545312,356219,137068,400754,73020,273794,175915,154290,96887,24348,70056,41434,92463,556563,639596,350378,191105,334644,421612,634723,528743,88476,51472,471216,201459,236857,68505,155814,81988,47491
EM2,7244974,10118223,6276117,2370276,5933795,4835432,1885768,1430529,2617780,4627104,99587,377593,2446712,366433,208348,60112,168764,799361,482779,268163,80748,485778,237274,259799,987959,69173,186398,133383,262733,50890,139444,629298,111611,803601,692223,96950,661554,579784,647996,206565,59564,144640,188479,202490,34278,135852,86174,92757,271990,171103,160206,179032,94181,104000,103364,97509,60197,41532,98655,158159,1,1,1,321858,639417,631659,1606983,1507688,398434,397480,287791,72438,134957,39299,41305,280125,112688,92747,394955,560506,536228,352420,137461,395979,75288,264934,170749,141446,91897,25340,64412,40971,88607,564319,634119,364074,184805,343083,404417,667248,516366,84484,50218,459667,197097,230892,66291,148054,73886,42805
EM2,7314901,10392747,6412952,2451004,5922911,4631666,1863172,1406054,2653430,4493983,100202,371825,2525776,353879,209129,57222,168099,771546,470752,262653,83874,462435,235449,267605,971874,68877,188640,135719,274665,51505,141583,647705,109541,807969,684572,100259,643563,585573,650893,210742,60942,144501,190029,209216,35816,143398,89746,93723,273593,172326,159162,186620,97834,106452,104131,98675,61479,41403,99779,157848,1,1,1,306412,640441,615507,1567998,1535526,395546,405301,290618,68990,133944,40584,42114,288031,113983,94777,398869,565025,563615,367783,141638,395644,75178,277730,168723,143966,93648,23750,66646,42580,90540,552757,639740,353444,189438,340815,410193,649930,496391,84765,50730,471236,198574,228900,66311,149431,75824,40555
EM2,6757784,9141228,5945354,2217741,5487929,4268662,1732110,1303158,2433097,4143162,96653,349657,2347448,338448,199061,54750,156003,725006,443667,253086,77585,454640,227928,251683,926954,66328,174540,128413,263746,47373,128725,595982,102025,743494,636012,92804,595712,546266,600888,201936,54190,134751,175296,196408,33297,133541,80880,87620,257483,159237,146952,178362,90004,100056,99225,92551,58495,39349,97417,151440,1,1,1,293372,630773,599397,1517010,1480212,391902,380427,279453,68640,131243,38627,39714,271616,107726,91187,390289,532615,540483,357482,137032,383294,72452,263308,164320,141986,92611,24186,63602,40025,87499,564835,619626,379100,186456,336945,392566,644749,499399,84170,49585,467210,195824,227489,63210,146898,70292,39559
EM2,7104080,10001979,6232816,2347625,5743476,4519446,1817118,1385672,2604327,4426225,97212,363296,2437531,348606,202027,54811,161165,748314,460889,258322,79340,462800,228943,254310,967130,65263,182475,127922,256748,48914,134892,631970,108853,773206,689077,97474,646415,585578,641680,207358,58365,139524,187368,199394,34941,135390,84911,92735,270118,169170,157265,179402,92756,102652,100460,96061,59879,43399,100402,158962,1,1,1,487402,993119,986876,2473491,2322518,614564,617119,434486,109381,209684,61971,64588,426871,173404,138719,567426,818918,797295,520687,210228,561509,105157,381561,222042,182382,121059,31980,85157,51922,94696,580007,652518,372411,189980,343595,415272,661060,528132,86640,53775,491442,202269,241224,70359,161154,84825,47911
EM2,7341907,10690195,6595297,2492588,6006636,4739821,1867668,1435228,2696717,4610785,102619,373233,2535657,346523,202393,57161,161676,756274,464650,259576,81587,473524,234165,263311,977914,68847,183119,131224,266480,50708,143275,647523,107265,820376,691102,101710,659030,579428,632565,212376,60474,145598,188249,212233,36524,141069,86004,94336,273831,168099,161303,189229,98229,105541,103376,99578,62896,40640,103702,162290,1,1,1,481253,1019985,984502,2471891,2401896,629781,631722,432997,108696,200386,62915,65515,421267,165526,152924,605050,862376,829101,528552,209895,608767,107121,406292,229292,197131,128415,31539,90227,53723,106107,691948,686256,385355,202828,373176,434191,708699,519746,91275,52947,480095,205168,250324,69614,164473,79502,46642
EM2,6766814,9959227,5995805,2298826,5716698,4707698,1808552,1357443,2484808,4410043,97227,367142,2414084,357147,191780,56274,158403,777469,476115,253752,80015,487326,224150,252317,951808,68728,175278,133686,263092,51206,138917,613805,109090,810961,692134,96817,668533,571442,629240,202047,58077,140678,192220,206122,35229,136434,85469,97000,273033,168322,160422,179620,96588,102840,100072,94126,60555,42345,99553,158812,1,1,1,307499,628943,618345,2454378,2275872,618155,611480,426125,111759,208539,63910,66762,424869,174030,147253,609972,875702,818800,541505,210605,598785,113035,407237,230191,213503,135326,32204,90942,52795,108771,671682,691765,376909,206313,377618,440389,720285,554201,92535,52316,495077,214911,250424,68446,165719,81780,46345
EM2,7171588,9810589,6242804,2375047,5890533,4741532,1842441,1416328,2612268,4553121,97729,359211,2486457,351761,204281,56801,163656,767589,465836,261798,81048,470245,234400,259123,990677,69556,184395,129069,262478,50115,139329,645637,113304,809656,697881,99502,662576,595760,644074,211482,60677,145535,190298,207876,35365,144158,87826,94752,275210,171777,164189,187621,96151,104222,104375,100801,60848,43943,102333,164755,1,1,1,315811,653127,627050,1596305,1532415,640169,635573,460888,109081,209907,62803,65237,439629,178223,144899,614312,863698,839600,563521,221894,618078,116455,407626,259006,216615,145569,35185,96751,58072,114997,669399,696027,379074,205470,368447,449336,706375,561203,92931,52726,502637,216340,244833,70909,171689,87821,49014
EM2,11934195,17520645,10548665,3952553,9409385,7809612,3037490,2289402,4168635,7353262,140596,516036,3276705,461935,250895,74344,208585,1019760,614543,330288,101770,620409,293067,318124,1277419,87051,229236,161159,316809,63378,170639,767217,136991,1002190,870846,120864,833217,711617,781982,250331,73170,173023,239011,263167,44899,173255,106430,116177,335804,209983,192490,216803,118947,123862,124607,115316,74176,51821,120994,193297,1,1,1,369770,732785,747319,1830875,1774755,466202,463764,324928,82776,154194,47938,50426,326724,124512,111896,456824,656355,630842,405622,159295,461014,83188,326776,193540,171148,110513,27685,78019,48799,108984,671121,748875,432180,222746,409024,468170,785940,583287,103706,59819,556415,238379,276775,79595,184378,88579,51484
EM3,7660723,11502670,6922488,2540558,6455812,5252121,2076545,1612199,2816380,5237981,107370,380699,2683757,387133,221937,59912,172932,825028,497236,286504,83303,490598,250701,273795,1066933,70236,193443,146601,299055,54237,147949,672890,116143,823967,727637,103211,683301,604545,693477,219685,61611,150742,203130,216782,37319,149580,94394,94388,287145,177400,163726,186175,95176,105463,107079,100281,63626,45405,100986,162534,1,1,1,334468,725300,699974,1738783,1688056,412826,417496,285065,67582,143621,36854,39297,295717,119076,95998,415257,605956,552998,383173,135805,412381,66308,255345,169658,142046,91778,27005,65384,36413,81413,538084,643130,365784,180392,376581,431177,682850,526688,93688,58894,499328,207158,248701,70122,156815,77151,43049
