Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
M1,9866815,14773451,9016198,4248082,8682513,8737396,3256424,2727201,4772982,8817522,229548,813168,4823851,833001,459378,134268,379302,1759314,1042508,625708,181458,1091442,541869,582974,667409,159071,420684,322656,646649,125340,332918,1440677,251653,1759189,1577454,248891,1514356,1289442,1455782,502322,145596,352795,479842,524329,90503,352125,200855,234611,682903,422011,385042,465366,246183,269576,261604,246322,154709,101512,254129,391655,444849,161781,231375,781222,1742286,1668031,4170333,3988145,1054747,1024918,698182,174968,361779,104806,108383,748115,304153,252613,519518,1115841,1564146,1500156,1017127,1066185,187929,704259,494915,398732,262975,73954,181021,108625,226497,1517656,1836357,990573,536510,998292,1292205,1887289,1576845,269367,172814,1480813,630797,748954,224869,488494,242146,139198
M1,9710288,15343973,9508656,4349392,8956560,8999064,3441709,2718329,4768678,8836064,226958,797142,4676611,840698,457401,135975,371849,1817182,1071652,631985,190608,1082638,560781,609823,681956,158754,421704,325863,655652,130888,342351,1449031,250254,1813921,1552126,250078,1491300,1322135,1455552,516568,150551,362777,481928,522696,93004,353372,204014,236610,698783,437144,395221,463364,247634,259603,260636,239605,159795,104453,257163,388380,446049,162228,235604,778325,1683394,1679998,4088886,3972862,1027368,1042712,696378,170461,353168,105332,109060,728484,298922,258631,523332,1111091,1524685,1472816,991798,1071064,184624,693384,482263,403434,263990,72497,187799,109338,234454,1499708,1838404,980505,511224,1011321,1259020,1892287,1525918,278564,162701,1488854,617647,755256,214728,498981,237618,136725
M1,9890662,15108114,9191740,4347063,8950418,9016230,3366807,2696013,4805363,8873703,229899,808765,4787098,843215,460396,135805,370549,1834832,1066088,637472,188500,1097632,559814,610671,687247,158839,424576,336992,666332,133476,347852,1453978,246703,1844364,1556808,252762,1470162,1312646,1473850,526945,149008,373457,495651,520298,93355,350494,208513,239563,697622,447981,394815,467374,249652,263800,257949,241527,162620,106441,252622,383075,441985,163772,236518,777387,1720970,1686833,4098225,4043085,1039163,1066780,708949,174446,358174,107567,109802,759803,314330,261695,538595,1137133,1577587,1484731,1041668,1081410,192488,718384,494328,413922,270303,72139,188518,107900,228574,1478255,1877534,1006364,512455,1038856,1251332,1904002,1529715,281911,171312,1478741,634701,751370,219084,495178,243078,142572
M1,9706363,15091309,9251342,4346345,8864116,8938760,3369533,2700311,4788583,8886683,225229,801959,4710664,849863,461749,140592,376470,1793056,1073228,637725,188010,1093554,555159,603985,683088,159323,421717,332197,664469,131663,342927,1437640,246792,1799258,1542000,248463,1476967,1317959,1468956,517161,149258,366869,486187,518082,91013,351738,205411,241966,690588,442351,390548,466860,243375,273336,253699,243230,164326,103362,256613,389748,454303,166738,235468,795507,1726928,1674761,4193011,4177434,1048826,1064867,725762,176176,363018,109832,111019,754779,308148,263891,538191,1132071,1578786,1525835,1039293,1069578,194862,714291,494221,413903,270100,74339,193965,108267,234409,1487832,1849100,1000422,535491,1021597,1294345,1926840,1554499,280143,170183,1476738,620198,766723,222933,490371,244571,141683
M2,12010875,18664566,10862453,4707801,9785974,9575615,3695853,2892752,4940042,9288123,240419,839882,4848505,860292,481303,137862,380642,1883536,1099140,626602,190432,1108785,556332,609644,680468,154166,415225,329575,649023,129077,337194,1399027,244129,1798750,1502713,242488,1432825,1285508,1442889,505154,145914,354176,473763,516107,88633,338277,202142,228462,674635,429624,382717,444906,239714,253078,248475,229692,154094,101626,243960,370088,436839,155139,228000,757441,1686682,1642178,3992502,3866246,1016106,1004215,675959,168377,342555,99108,104543,728677,295155,251541,519904,1093630,1509691,1437973,973637,1015438,182214,660296,468804,384499,252354,70369,177139,103435,213903,1388040,1711711,933070,481162,964842,1196785,1773329,1484343,268258,160126,1443943,576472,710436,213853,463145,228201,130405
M2,11799768,18361538,10552724,4641523,9399569,9444911,3535774,2838988,4884173,9145626,226348,811569,4818006,841210,451756,131962,378703,1744747,1037959,627997,184120,1068007,540072,578383,669898,154376,411024,317762,633563,124438,323949,1373427,240361,1703240,1499447,238482,1434753,1252638,1388728,485382,142148,338632,468424,498714,86829,340142,192540,223034,657897,410403,360478,446110,230754,250782,248101,228771,148402,98692,238196,364580,422219,155768,220475,740229,1614053,1553411,3887339,3717440,956263,958294,645908,167137,337129,96885,99630,702464,277447,238146,498261,1051032,1437096,1374133,941728,1007114,176161,641382,449212,379127,244228,66130,168443,98202,208131,1377172,1666663,891872,480929,915704,1183778,1760843,1470667,258891,159944,1429168,590678,706109,202208,461703,228479,127947
M2,11887924,18088980,10484670,4642619,9337538,9354673,3500813,2877079,4996553,9220537,230813,804424,4836354,848111,450883,134859,375536,1796136,1046202,627948,184752,1058872,550030,589029,684582,155474,417133,323155,645027,124965,326710,1416444,244666,1721285,1515670,239296,1446209,1261796,1410237,487614,143024,346262,466040,506556,87651,347682,190423,221848,658380,414859,371252,447799,235226,256479,246662,234173,148442,99175,240541,362702,428677,157369,225420,763919,1680983,1644475,4044649,3835308,990090,980213,664456,168936,352610,97365,104903,723196,293190,242923,492626,1065045,1519146,1429343,967744,1012777,180917,654350,465189,373052,239304,70412,169788,102622,210168,1394333,1741850,971504,494473,970245,1218689,1862874,1480144,258798,158027,1419322,586168,693241,211969,443712,224916,125339
M2,11927252,18800666,10813909,4769044,9490228,9624982,3579952,2877865,5056083,9505756,230944,820710,4860657,866060,461129,136252,380589,1832327,1066425,639386,187537,1066103,555838,589273,685198,156893,424005,324972,645270,127493,330436,1421455,243974,1755823,1519601,237789,1444402,1272710,1417574,489042,142008,342027,469312,505891,90418,339731,195250,229455,657056,418581,368147,451597,239196,257322,248724,230144,148243,99121,241534,368448,418713,157622,222282,753405,1671853,1616044,3909714,3834265,993434,995838,669388,166640,349348,98774,103642,717815,296193,254241,506214,1086799,1502572,1433530,971576,1024229,183992,669269,465485,390981,245709,69026,174307,100723,215578,1387843,1729441,922973,481571,969706,1195426,1814956,1435110,266097,155723,1425086,582872,714520,199935,462074,237536,130896
M3,10277778,16003844,9613544,4464755,9125431,9006366,3414003,2671281,4788620,8721582,226253,790718,4679529,838629,448991,132507,371605,1785596,1048148,620513,189065,1064918,538246,591603,668980,154216,403777,315525,621817,124213,330970,1403344,240160,1748837,1495129,238746,1432501,1261355,1403724,498193,143195,342047,464143,504626,86500,335724,197072,228087,655625,425313,375509,444038,236566,249537,246741,231937,153050,100625,249080,372253,425465,154541,225610,754939,1617421,1602474,3898757,3820798,986284,992966,693186,169627,344897,102640,107376,708238,291926,253453,508173,1048215,1467633,1405890,960107,1002727,184953,680901,463265,395449,254340,69728,180268,105868,224861,1448082,1715856,919586,501222,941872,1197672,1777003,1449121,262232,158926,1408482,588007,697919,199912,469731,227499,128885
M3,10942993,15340914,9854637,4284418,9019513,8652276,3453291,2791501,4882814,8737808,235886,829077,4814212,827267,468554,128936,387030,1797729,1075489,622016,181761,1094941,524655,597785,664452,158592,428491,311084,606171,119395,318690,1396037,248496,1755186,1503533,236446,1480713,1246598,1394158,481221,139448,333931,462932,509172,86502,350330,200220,220939,645343,417298,380921,449356,231995,254314,256127,239939,147236,99204,243180,373577,434821,158573,227229,776703,1676925,1670831,4026823,3762033,992279,987704,684638,176761,351726,98810,111558,724756,293643,247299,506184,1030912,1517630,1433670,959273,1023480,186570,667861,479997,390265,255239,68570,178391,112249,220371,1419153,1768086,957014,522554,981113,1184993,1835633,1451810,257493,152523,1370554,596272,663469,213655,445208,230986,126388
M3,10679246,15948391,9714540,4397038,8963819,8927452,3408365,2683465,4650990,8536674,224188,795478,4681293,815689,460858,131508,361155,1787697,1057952,604869,185634,1070985,536909,581170,649106,148798,407543,312494,626273,122728,327183,1380435,241854,1769404,1464406,236387,1410834,1257767,1397737,490188,143445,348280,460162,484906,85811,321212,187944,223224,659620,420018,387464,434475,232978,246498,246081,227375,149108,100712,246512,361535,427779,156782,224732,767804,1610057,1621078,3996668,3845920,981422,1006273,688040,171473,335246,102435,106501,714909,281263,252576,501360,1068168,1509625,1382742,939695,995845,178536,676308,471711,398916,259535,68255,181461,108025,221053,1382490,1671635,965985,487130,986029,1137260,1853521,1409619,263137,155246,1369992,579224,709816,198283,476173,233218,128850
M3,10494379,15906903,9462663,4322509,8720060,8528185,3330513,2724756,4812321,8565072,223308,794705,4814174,812798,451885,127250,377347,1742807,1037302,616442,177824,1075961,518785,576840,642634,156059,412141,302865,616428,117758,315121,1385065,241403,1711525,1508689,235682,1442333,1225010,1381247,479538,140297,336141,454499,502682,86223,336531,192817,220863,646462,406947,374783,448474,231194,251087,251869,232337,148361,95260,240673,357785,421828,154172,220600,766490,1642689,1597468,4018651,3681515,986964,970221,678537,173285,347527,100787,103945,718075,302965,241957,507630,1044547,1496948,1427205,950786,993489,182006,677077,458534,391744,252245,66059,180845,103887,214023,1394582,1745029,971472,504757,938512,1181985,1778643,1464002,256050,160398,1366942,590024,688761,199075,477703,233053,128480
M4,13473524,18591341,11165826,4576258,9971607,9265477,3688850,2854427,4812818,8741342,235096,815283,4809070,800090,461606,127761,372379,1794017,1055159,588655,179186,1070262,534535,586558,638935,148089,411646,317383,612710,120303,312577,1284209,236502,1693259,1433078,228297,1366947,1188408,1344982,470168,137015,331920,439045,474537,81677,320530,189611,217965,626551,399045,361251,414793,219224,233363,241229,217864,142979,97164,222639,338372,404424,143523,218296,727962,1575557,1560265,3824002,3590825,932790,962472,621783,156822,320532,92828,98664,681283,270807,231264,467949,1003266,1451322,1327946,905606,964505,166104,594771,444250,345169,225297,66730,154354,98664,190795,1293996,1605608,879369,456265,910092,1092499,1644007,1362187,232283,150763,1285152,539478,645423,192359,430771,210796,121927
M4,12967546,19069410,11403909,4684028,9678652,9323694,3596172,2729968,4858505,9042329,219321,780664,4713037,814923,433574,126850,366482,1715838,1006245,604164,176005,1031474,523205,556525,651478,151849,396908,306004,610229,117855,310957,1314593,227373,1619773,1444559,223519,1342611,1182023,1334535,457939,131736,320777,442710,473951,82881,319511,177098,209310,614118,388799,350286,412736,216440,238851,233701,210132,140049,91658,225953,334003,390664,142589,203773,704294,1561925,1487958,3724634,3632780,938645,925693,616087,151836,314716,93291,94517,661488,265796,230771,461618,1030893,1375535,1277575,893832,928050,162985,600638,442776,362104,229911,66363,160894,92104,195201,1277639,1569254,899318,461200,930997,1093769,1779751,1354734,246351,146507,1313369,552415,639830,197146,422778,210553,118223
