Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
EM1,0,0,0,0,0,0,0,0,0,0,0,906092,946472,7825609,3854528,2387357,1469847,1191216,6647207,3340878,12763772,1865824,5010699,5787221,5375697,964607,1197910,4445268,6453186
EM2,0,0,0,0,0,0,0,0,0,0,0,351493,334976,4481523,1101498,563131,339343,477888,2675664,1317689,3767042,744907,1616370,1864587,2051580,314217,445124,1793505,2710617
M1,0,0,0,0,0,0,0,0,0,0,0,178886,144164,2079378,594863,314981,163093,198324,1165097,559464,2076748,270052,667654,866007,966843,129997,177002,766006,1183484
M2,0,0,0,0,0,0,0,0,0,0,0,151520,141413,1773510,542636,295496,166468,186021,1088095,510391,1812098,289370,631313,753295,737910,137800,162031,644475,1090266
M3,0,0,0,0,0,0,0,0,0,0,0,221512,220209,2325293,895582,496271,318874,275489,1563956,726925,2682583,413709,1037595,1307096,1267273,204552,266873,989907,1668508
